speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
ABDU,14,1330,American Black Duck,Canard noir,Anas rubripes,Anas rubripes,48,NULL,NULL,A,24:55.1
ACFL,56,4650,Acadian Flycatcher,Moucherolle vert,Empidonax virescens,Empidonax virescens,1221,NULL,NULL,A,24:55.3
ALFL,56,4661,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,Empidonax alnorum,1222,NULL,NULL,A,24:55.4
AMAV,51,2250,American Avocet,Avocette d'Amérique,Recurvirostra americana,Recurvirostra americana,443,NULL,NULL,A,24:55.6
AMBI,23,1900,American Bittern,Butor d'Amérique,Botaurus lentiginosus,Botaurus lentiginosus,726,NULL,NULL,A,24:55.7
AMCO,46,2210,American Coot,Foulque d'Amérique,Fulica americana,Fulica americana,434,NULL,NULL,A,24:55.8
AMCR,27,4880,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,Corvus brachyrhynchos,1393,NULL,NULL,A,24:56.0
AMDI,12,7010,American Dipper,Cincle d'Amérique,Cinclus mexicanus,Cinclus mexicanus,1512,NULL,NULL,A,24:56.1
AMGO,16,5290,American Goldfinch,Chardonneret jaune,Spinus tristis,Spinus tristis,1770,NULL,NULL,A,24:56.3
AMGP,44,2720,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,Pluvialis dominica,451,NULL,NULL,A,24:56.4
AMKE,15,3600,American Kestrel,Crécerelle d'Amérique,Falco sparverius,Falco sparverius,997,NULL,NULL,A,24:56.5
AMOY,41,2860,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,Haematopus palliatus,445,NULL,NULL,A,24:56.7
AMPI,43,6970,American Pipit,Pipit d'Amérique,Anthus rubescens,Anthus rubescens,1677,NULL,NULL,A,24:56.8
AMRE,58,6870,American Redstart,Paruline flamboyante,Setophaga ruticilla,Setophaga ruticilla,1983,NULL,NULL,A,24:56.9
AMRO,55,7610,American Robin,Merle d'Amérique,Turdus migratorius,Turdus migratorius,1601,NULL,NULL,A,24:57.1
AMWI,14,1370,American Wigeon,Canard d'Amérique,Anas americana,Anas americana,43,NULL,NULL,A,24:57.2
AMWO,47,2280,American Woodcock,Bécasse d'Amérique,Scolopax minor,Scolopax minor,511,NULL,NULL,A,24:57.4
ANHU,24,4310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Calypte anna,335,NULL,NULL,A,24:57.5
ANMU,33,210,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,Synthliboramphus antiquus,554,NULL,NULL,A,24:57.6
ARTE,21,710,Arctic Tern,Sterne arctique,Sterna paradisaea,Sterna paradisaea,614,NULL,NULL,A,24:57.7
ATPU,33,130,Atlantic Puffin,Macareux moine,Fratercula arctica,Fratercula arctica,561,NULL,NULL,A,24:57.9
ATSP,49,5590,American Tree Sparrow,Bruant hudsonien,Spizella arborea,Spizella arborea,1827,NULL,NULL,A,24:58.0
ATTW,60,4010,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Picoides dorsalis,967,NULL,NULL,A,24:58.2
