Order,Family,Subfamily,Tribe,Genus,Common_name,Scientific_name,S_value,Source_S,F_value,Source_F,L_value,Source_L
STRUTHIONIFORMES,Struthionidae,Struthionidae,Struthionidae,Struthio,Common Ostrich,Struthio camelus,,,3.50,del Hoyo et al. 1992,50.00,Carey and Judge 2000
STRUTHIONIFORMES,Struthionidae,Struthionidae,Struthionidae,Struthio,Somali Ostrich,Struthio molybdophanes,,,,,,
STRUTHIONIFORMES,Rheidae,Rheidae,Rheidae,Rhea,Greater Rhea,Rhea americana,,,2.00,del Hoyo et al. 1992,50.00,Atanasov 2012
STRUTHIONIFORMES,Rheidae,Rheidae,Rheidae,Rhea,Lesser Rhea,Rhea pennata,,,3.00,del Hoyo et al. 1992,,
STRUTHIONIFORMES,Rheidae,Rheidae,Rheidae,Rhea,Puna Rhea,Rhea tarapacensis,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Nothocercus,Tawny-breasted Tinamou,Nothocercus julius,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Nothocercus,Highland Tinamou,Nothocercus bonapartei,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Nothocercus,Hooded Tinamou,Nothocercus nigrocapillus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Tinamus,Grey Tinamou,Tinamus tao,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Tinamus,Solitary Tinamou,Tinamus solitarius,,,,,15.00,Carey and Judge 2000
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Tinamus,Black Tinamou,Tinamus osgoodi,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Tinamus,Great Tinamou,Tinamus major,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Tinamus,White-throated Tinamou,Tinamus guttatus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Berlepsch's Tinamou,Crypturellus berlepschi,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Cinereous Tinamou,Crypturellus cinereus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Tepui Tinamou,Crypturellus ptaritepui,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Little Tinamou,Crypturellus soui,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Brown Tinamou,Crypturellus obsoletus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Undulated Tinamou,Crypturellus undulatus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Brazilian Tinamou,Crypturellus strigulosus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Grey-legged Tinamou,Crypturellus duidae,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Red-legged Tinamou,Crypturellus erythropus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Yellow-legged Tinamou,Crypturellus noctivagus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Black-capped Tinamou,Crypturellus atrocapillus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Western Thicket Tinamou,Crypturellus occidentalis,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Eastern Thicket Tinamou,Crypturellus cinnamomeus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Pale-browed Tinamou,Crypturellus transfasciatus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Slaty-breasted Tinamou,Crypturellus boucardi,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Choco Tinamou,Crypturellus kerriae,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Variegated Tinamou,Crypturellus variegatus,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Rusty Tinamou,Crypturellus brevirostris,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Bartlett's Tinamou,Crypturellus bartletti,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Barred Tinamou,Crypturellus casiquiare,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Small-billed Tinamou,Crypturellus parvirostris,,,,,,
STRUTHIONIFORMES,Tinamidae,Tinamidae,Tinamidae,Crypturellus,Tataupa Tinamou,Crypturellus tataupa,,,,,,
