seq,aou,english,french,spanish,order,family,genus,species,sp.bbs,sci_name,GenLength
6,01770,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygna,autumnalis,1770,Dendrocygna autumnalis,2.362207056
7,01780,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygna,bicolor,1780,Dendrocygna bicolor,2.619713927
8,01760,Emperor Goose,Oie empereur,Anser canagicus,Anseriformes,Anatidae,Anser,canagicus,1760,Anser canagicus,8.008237927
9,01690,Snow Goose (all forms),Oie des neiges (toutes les formes),Anser caerulescens,Anseriformes,Anatidae,Anser,caerulescens,1690,Anser caerulescens,8.764038712
10,01691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anser caerulescens (blue form),Anseriformes,Anatidae,Anser,caerulescens (blue form),1691,Anser caerulescens (blue form),8.764038712
11,01700,Ross's Goose,Oie de Ross,Anser rossii,Anseriformes,Anatidae,Anser,rossii,1700,Anser rossii,6.250561565
13,01710,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,Anser,albifrons,1710,Anser albifrons,8.40029148
18,01730,Brant,Bernache cravant,Branta bernicla,Anseriformes,Anatidae,Branta,bernicla,1730,Branta bernicla,9.908548955
19,01740,(Black Brant) Brant,Bernache cravant (groupe nigricans),Branta bernicla nigricans,Anseriformes,Anatidae,Branta,bernicla nigricans,1740,Branta bernicla nigricans,9.908548955
21,01725,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,Branta,hutchinsii,1725,Branta hutchinsii,9.217436837
22,01720,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,Branta,canadensis,1720,Branta canadensis,9.449200494
23,01782,Mute Swan,Cygne tuberculé,Cygnus olor,Anseriformes,Anatidae,Cygnus,olor,1782,Cygnus olor,9.800268867
24,01810,Trumpeter Swan,Cygne trompette,Cygnus buccinator,Anseriformes,Anatidae,Cygnus,buccinator,1810,Cygnus buccinator,9.306894418
25,01800,Tundra Swan,Cygne siffleur,Cygnus columbianus,Anseriformes,Anatidae,Cygnus,columbianus,1800,Cygnus columbianus,11.99546495
27,20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,20630,Alopochen aegyptiaca,6.553195244
28,10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,10210,Cairina moschata,3.935264598
29,01440,Wood Duck,Canard branchu,Aix sponsa,Anseriformes,Anatidae,Aix,sponsa,1440,Aix sponsa,4.056081918
32,01400,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Anseriformes,Anatidae,Spatula,discors,1400,Spatula discors,3.937736958
33,01410,Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,Anseriformes,Anatidae,Spatula,cyanoptera,1410,Spatula cyanoptera,2.91362668
34,01420,Northern Shoveler,Canard souchet,Spatula clypeata,Anseriformes,Anatidae,Spatula,clypeata,1420,Spatula clypeata,4.095844242
35,01350,Gadwall,Canard chipeau,Mareca strepera,Anseriformes,Anatidae,Mareca,strepera,1350,Mareca strepera,3.673352314
37,01360,Eurasian Wigeon,Canard siffleur,Mareca penelope,Anseriformes,Anatidae,Mareca,penelope,1360,Mareca penelope,3.789266937
38,01370,American Wigeon,Canard d'Amérique,Mareca americana,Anseriformes,Anatidae,Mareca,americana,1370,Mareca americana,3.89349214
40,01320,Mallard,Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,Anas,platyrhynchos,1320,Anas platyrhynchos,4.781012977
41,01331,Mexican Duck,Canard du Mexique,Anas diazi,Anseriformes,Anatidae,Anas,diazi,1331,Anas diazi,4.781012977
42,01330,American Black Duck,Canard noir,Anas rubripes,Anseriformes,Anatidae,Anas,rubripes,1330,Anas rubripes,4.821432747
43,01340,Mottled Duck,Canard brun,Anas fulvigula,Anseriformes,Anatidae,Anas,fulvigula,1340,Anas fulvigula,4.552456265
44,01326,"hybrid Mallard x Mexican, Black, or Mottled Duck",hybride Canard colvert x Canard noir,Anas platyrhynchos x diazi x rubripes or fulvigula,Anseriformes,Anatidae,Anas,platyrhynchos x diazi x rubripes or fulvigula,1326,Anas platyrhynchos x diazi x rubripes or fulvigula,NA
